customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
ID31,Male,0,Yes,No,11,No,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Mailed check,94.41,2385.1,No
ID32,Male,0,No,Yes,16,Yes,Yes,DSL,No internet service,Yes,Yes,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card,104.96,5834.08,No
ID33,Male,0,Yes,Yes,45,Yes,No,DSL,No,No,Yes,Yes,No internet service,Yes,One year,Yes,Electronic check,76.68,6508.52,Yes
ID34,Male,0,No,No,55,Yes,Yes,Fiber optic,No,No internet service,No,No internet service,Yes,Yes,Month-to-month,No,Electronic check,24.23,2870.55,No
ID35,Female,1,No,No,54,Yes,No,No,No internet service,No,Yes,Yes,Yes,Yes,Two year,No,Credit card,64.19,5086.93,No
ID36,Female,0,Yes,Yes,53,Yes,No,No,No,No,No internet service,No,No,Yes,One year,No,Bank transfer,74.53,1125.67,No
ID37,Female,1,Yes,Yes,42,Yes,No,No,No,Yes,Yes,Yes,No internet service,Yes,One year,Yes,Electronic check,62.75,7802.46,Yes
ID38,Female,1,Yes,No,20,No,Yes,DSL,No internet service,No,No internet service,Yes,No,No,One year,Yes,Credit card,73.1,7745.3,No
ID39,Female,0,No,Yes,56,Yes,Yes,DSL,No,No,Yes,No internet service,No,Yes,One year,No,Electronic check,63.27,4514.37,No
ID40,Female,1,Yes,Yes,68,Yes,No phone service,No,Yes,No,No,Yes,No,No,Month-to-month,Yes,Bank transfer,37.78,3628.1,Yes
ID41,Female,1,Yes,Yes,63,Yes,Yes,DSL,Yes,No,Yes,No internet service,Yes,Yes,Two year,Yes,Bank transfer,115.34,5826.02,No
ID42,Female,1,Yes,No,65,No,No phone service,No,No,No internet service,No,Yes,No,Yes,Month-to-month,No,Bank transfer,108.76,6811.37,No
ID43,Female,0,No,Yes,35,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No internet service,One year,No,Bank transfer,64.31,5374.72,No
ID44,Male,0,No,No,62,No,No,Fiber optic,No,No internet service,Yes,Yes,No internet service,No internet service,Two year,Yes,Electronic check,91.91,4823.55,Yes
ID45,Female,1,Yes,Yes,16,No,Yes,No,Yes,No internet service,No,Yes,No,Yes,Month-to-month,No,Electronic check,52.38,7645.34,No
ID46,Female,0,No,No,53,Yes,Yes,No,Yes,Yes,No,No internet service,No internet service,No,Month-to-month,No,Electronic check,48.54,6301.37,No
ID47,Male,1,No,No,14,Yes,Yes,DSL,No internet service,Yes,Yes,Yes,No internet service,Yes,One year,No,Bank transfer,26.67,593.82,No
ID48,Male,1,No,No,29,Yes,No phone service,DSL,No internet service,No internet service,No,Yes,No internet service,No internet service,One year,No,Credit card,83.92,1812.83,Yes
ID49,Male,0,Yes,Yes,19,No,No phone service,Fiber optic,No internet service,No,No,Yes,No internet service,No,Month-to-month,Yes,Mailed check,44.55,186.08,Yes
ID50,Female,1,No,No,67,No,No,DSL,No,No internet service,No,No internet service,Yes,No,One year,No,Credit card,52.49,975.57,No
ID51,Female,1,No,Yes,68,Yes,No,DSL,No,No internet service,Yes,No internet service,Yes,No internet service,One year,Yes,Mailed check,28.38,2531.58,No
ID52,Female,0,No,No,62,No,No,DSL,No internet service,Yes,Yes,No internet service,Yes,No,Two year,No,Credit card,19.76,3768.12,Yes
ID53,Male,1,No,Yes,11,No,No phone service,DSL,Yes,No internet service,No internet service,Yes,No,Yes,Month-to-month,No,Electronic check,71.4,6890.06,No
ID54,Female,0,Yes,No,68,No,Yes,DSL,Yes,Yes,No internet service,Yes,No internet service,Yes,One year,No,Mailed check,25.61,3021.96,Yes
ID55,Male,0,No,No,18,No,No,No,Yes,No,No internet service,No,No,Yes,One year,Yes,Mailed check,76.32,7574.91,No
ID56,Male,1,Yes,Yes,59,Yes,No,DSL,No,Yes,Yes,Yes,No internet service,No,Month-to-month,No,Mailed check,66.6,991.57,No
ID57,Male,1,Yes,No,21,No,Yes,No,No,Yes,No internet service,No,No internet service,No,One year,Yes,Mailed check,102.34,467.56,Yes
ID58,Male,0,Yes,Yes,22,No,No phone service,Fiber optic,No,No internet service,Yes,No internet service,No,No internet service,One year,Yes,Credit card,80.86,4165.65,Yes
ID59,Male,0,Yes,Yes,8,Yes,Yes,Fiber optic,No internet service,Yes,No,Yes,No,Yes,Two year,Yes,Credit card,88.25,5397.11,Yes
ID60,Male,1,No,Yes,58,Yes,No,No,No,No,No internet service,Yes,Yes,No internet service,Month-to-month,Yes,Bank transfer,45.96,7703.94,No
ID61,Female,0,Yes,No,13,Yes,No,No,No internet service,Yes,No internet service,No internet service,No internet service,No,Month-to-month,Yes,Mailed check,60.11,5232.74,Yes
ID62,Female,0,No,Yes,41,Yes,No phone service,Fiber optic,No internet service,No internet service,No internet service,No,Yes,Yes,Month-to-month,Yes,Credit card,56.38,5473.11,No
ID63,Male,1,No,Yes,44,Yes,Yes,No,Yes,Yes,Yes,No internet service,Yes,No internet service,One year,No,Credit card,21.77,3991.85,Yes
ID64,Female,1,Yes,No,24,Yes,No phone service,Fiber optic,Yes,No internet service,Yes,Yes,No,No,One year,Yes,Mailed check,73.22,1316.57,No
ID65,Female,1,Yes,Yes,22,No,No phone service,DSL,No,Yes,No internet service,No,No internet service,No internet service,Two year,No,Mailed check,23.75,3999.16,Yes
ID66,Male,1,No,No,7,No,No phone service,DSL,No,No,Yes,No internet service,No,No internet service,Two year,Yes,Electronic check,35.78,8455.8,Yes
ID67,Female,0,No,No,38,No,Yes,Fiber optic,No,No internet service,Yes,No,No,No,One year,No,Mailed check,18.99,6076.28,Yes
ID68,Male,0,No,No,69,Yes,No phone service,DSL,No,No,No internet service,Yes,Yes,No,Two year,No,Electronic check,37.14,5498.62,Yes
ID69,Female,1,No,Yes,39,No,No phone service,Fiber optic,No internet service,No,Yes,No,No internet service,Yes,Two year,Yes,Bank transfer,86.65,4953.83,Yes
ID70,Female,1,Yes,No,4,No,No phone service,No,Yes,No internet service,No,No,No internet service,Yes,One year,No,Mailed check,109.14,6082.28,No
ID71,Male,0,No,No,13,No,No,DSL,No,No internet service,No internet service,No internet service,Yes,Yes,Two year,No,Electronic check,83.38,2197.68,No
ID72,Male,0,No,No,24,Yes,No,No,Yes,No internet service,No,No internet service,No,Yes,Month-to-month,Yes,Credit card,59.35,2818.85,Yes
ID73,Male,0,Yes,No,21,Yes,No,No,Yes,Yes,No,Yes,Yes,No internet service,One year,Yes,Credit card,39.5,5019.73,Yes
ID74,Female,1,Yes,Yes,39,Yes,No phone service,Fiber optic,No internet service,No,No internet service,No,No internet service,Yes,Two year,Yes,Electronic check,57.75,5321.97,Yes
ID75,Female,1,No,Yes,36,No,No phone service,No,Yes,Yes,Yes,No,No internet service,No,One year,No,Credit card,75.77,5246.27,Yes
ID76,Male,1,Yes,No,64,Yes,No phone service,DSL,No,No,No,No,No,Yes,One year,Yes,Bank transfer,47.23,1080.06,Yes
ID77,Female,1,Yes,No,55,Yes,Yes,No,No,No,No internet service,No,Yes,Yes,One year,Yes,Electronic check,74.04,6118.26,No
ID78,Male,1,Yes,No,26,No,Yes,No,No internet service,Yes,No,No,No,Yes,Two year,Yes,Mailed check,79.15,1431.33,Yes
ID79,Male,0,No,No,12,No,No,No,Yes,Yes,Yes,No,Yes,No,Month-to-month,No,Mailed check,42.25,1676.05,No
ID80,Male,1,No,Yes,11,Yes,Yes,No,No,No internet service,Yes,No,No,No,Month-to-month,No,Mailed check,60.41,1322.85,Yes
ID81,Male,1,Yes,No,24,Yes,No phone service,No,Yes,No internet service,No internet service,Yes,No,No internet service,Two year,No,Credit card,39.76,5864.45,No
ID82,Female,0,Yes,Yes,53,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Two year,Yes,Bank transfer,102.6,798.86,Yes
ID83,Female,1,No,No,3,Yes,No phone service,Fiber optic,No internet service,Yes,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,63.84,2527.49,No
ID84,Male,1,Yes,Yes,71,No,No,Fiber optic,Yes,No,No internet service,No internet service,Yes,No,Two year,Yes,Electronic check,66.5,2392.1,No
ID85,Female,1,No,No,25,Yes,No phone service,DSL,No internet service,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Mailed check,107.63,4337.53,No
ID86,Female,1,Yes,Yes,22,No,No phone service,DSL,No,No internet service,Yes,Yes,No,Yes,Two year,No,Mailed check,33.25,7178.25,Yes
ID87,Female,1,Yes,Yes,70,Yes,No phone service,No,No internet service,No internet service,No,No internet service,No,Yes,One year,Yes,Bank transfer,30.8,3529.17,No
ID88,Female,1,No,Yes,8,Yes,No,Fiber optic,No,No internet service,No,No,Yes,No,Two year,Yes,Bank transfer,105.28,4548.94,Yes
ID89,Female,1,Yes,Yes,51,No,No phone service,Fiber optic,Yes,Yes,No internet service,No,No,No,One year,Yes,Bank transfer,42.62,4191.68,Yes
ID90,Male,0,No,No,9,Yes,No,Fiber optic,Yes,No internet service,No internet service,No,Yes,No internet service,One year,Yes,Mailed check,20.97,6492.09,No
ID91,Male,0,Yes,No,16,No,No phone service,DSL,Yes,No,No,No internet service,Yes,No internet service,Month-to-month,No,Mailed check,18.43,6723.02,Yes
ID92,Female,1,No,Yes,62,No,No phone service,No,No internet service,No internet service,No,No internet service,No internet service,No,One year,No,Electronic check,30.63,8597.44,No
ID93,Male,0,Yes,Yes,68,No,No,Fiber optic,No,No,No,No,No internet service,Yes,Two year,No,Credit card,85.65,5272.58,No
ID94,Female,1,Yes,Yes,70,No,No,No,No,Yes,No internet service,No,No internet service,Yes,Two year,Yes,Bank transfer,62.49,2282.67,Yes
ID95,Male,0,No,Yes,49,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card,115.22,7630.62,Yes
ID96,Male,1,No,No,1,No,No phone service,Fiber optic,Yes,No,Yes,No,Yes,No internet service,One year,Yes,Mailed check,23.29,4221.67,No
ID97,Male,0,No,No,44,Yes,No,No,Yes,No internet service,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card,49.42,4086.09,Yes
ID98,Female,1,Yes,Yes,14,No,No phone service,Fiber optic,No,Yes,No internet service,No,Yes,Yes,Two year,No,Credit card,93.48,7624.75,No
ID99,Female,0,Yes,No,59,Yes,No phone service,No,No internet service,Yes,No,Yes,No,Yes,Two year,No,Bank transfer,25.17,3639.86,Yes
ID100,Female,0,No,No,30,Yes,Yes,DSL,No,No internet service,No internet service,No internet service,Yes,No internet service,Two year,Yes,Credit card,29.16,1272.64,No
ID101,Male,1,Yes,No,60,No,Yes,Fiber optic,Yes,No internet service,No internet service,Yes,No,No,Two year,No,Mailed check,100.39,4811.74,Yes
ID102,Female,0,No,No,16,No,Yes,DSL,No,Yes,No,Yes,Yes,Yes,One year,Yes,Bank transfer,118.71,1071.66,No
ID103,Male,0,No,Yes,8,No,Yes,DSL,No,No internet service,No internet service,No internet service,No internet service,No,Two year,No,Credit card,40.14,4708.6,No
ID104,Male,0,Yes,No,4,Yes,Yes,No,No internet service,No internet service,No internet service,Yes,No,No,Month-to-month,No,Bank transfer,55.97,2518.93,No
ID105,Female,1,Yes,No,17,No,Yes,Fiber optic,Yes,No,No internet service,No,No internet service,No internet service,One year,Yes,Credit card,36.2,1501.24,Yes
ID106,Male,0,Yes,Yes,7,No,Yes,DSL,Yes,Yes,Yes,No internet service,Yes,No,Two year,No,Bank transfer,35.94,5334.79,Yes
ID107,Female,0,Yes,No,40,No,Yes,DSL,Yes,No internet service,Yes,No internet service,No internet service,No internet service,Two year,Yes,Credit card,80.5,7975.25,No
ID108,Female,1,No,No,30,No,No,DSL,Yes,No internet service,Yes,Yes,No,No,One year,Yes,Bank transfer,66.94,4185.72,Yes
ID109,Female,1,No,Yes,18,No,Yes,DSL,No internet service,No internet service,No,No,No internet service,Yes,Month-to-month,No,Mailed check,106.78,2404.77,No
ID110,Male,1,No,Yes,30,Yes,Yes,Fiber optic,Yes,Yes,No internet service,Yes,No internet service,Yes,Two year,Yes,Bank transfer,77.09,4218.33,Yes
ID111,Female,1,No,Yes,25,No,Yes,DSL,No internet service,No,No internet service,Yes,Yes,Yes,Two year,No,Credit card,72.92,5167.36,Yes
ID112,Female,0,No,No,20,Yes,No phone service,No,Yes,Yes,No,No internet service,No,Yes,Month-to-month,No,Electronic check,60.14,8549.63,No
ID113,Female,1,Yes,Yes,45,Yes,No phone service,Fiber optic,Yes,No internet service,No,Yes,Yes,No internet service,Two year,Yes,Bank transfer,96.42,4728.25,Yes
ID114,Female,0,No,No,66,No,No phone service,Fiber optic,No,No internet service,No,No,No,No internet service,Month-to-month,Yes,Credit card,117.71,4557.19,No
ID115,Male,1,No,No,66,No,No,DSL,No,No internet service,No,Yes,No,No,Month-to-month,Yes,Credit card,83.23,2855.77,No
ID116,Male,0,Yes,Yes,56,No,No,Fiber optic,Yes,No internet service,Yes,No internet service,No internet service,No,Month-to-month,No,Mailed check,96.39,5340.15,No
ID117,Male,1,Yes,No,38,Yes,No phone service,No,No internet service,Yes,No internet service,No internet service,Yes,Yes,One year,No,Electronic check,118.31,2363.04,No
ID118,Female,0,Yes,Yes,71,Yes,No,Fiber optic,Yes,No internet service,No,Yes,No,No internet service,One year,No,Electronic check,90.52,4235.42,Yes
ID119,Male,1,Yes,No,14,Yes,No phone service,Fiber optic,No,No,Yes,Yes,No internet service,Yes,One year,Yes,Electronic check,21.8,4183.45,Yes
ID120,Female,1,No,Yes,45,Yes,No phone service,No,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card,58.08,1526.6,Yes
ID121,Male,0,No,Yes,2,Yes,No phone service,Fiber optic,No,Yes,Yes,No internet service,No,Yes,One year,No,Electronic check,46.45,3033.08,Yes
ID122,Male,1,No,No,39,No,No,No,No internet service,No,No,No,No internet service,No internet service,One year,Yes,Credit card,86.15,8161.51,No
ID123,Female,1,Yes,Yes,40,No,No,No,Yes,No internet service,No,No,Yes,Yes,Two year,Yes,Mailed check,56.44,763.35,No
ID124,Male,0,No,No,56,No,No,No,Yes,No,No internet service,No internet service,Yes,Yes,Month-to-month,Yes,Electronic check,78.79,5778.28,No
ID125,Female,0,Yes,No,62,Yes,No phone service,Fiber optic,No internet service,No,No,Yes,Yes,No,One year,Yes,Credit card,105.63,6704.66,Yes
ID126,Female,1,No,No,4,Yes,Yes,Fiber optic,No,No,No internet service,Yes,No,No internet service,One year,No,Bank transfer,103.1,7890.19,No
ID127,Female,0,Yes,Yes,12,No,No,DSL,No internet service,No internet service,Yes,Yes,No internet service,No,One year,No,Mailed check,40.68,4547.87,No
ID128,Female,0,Yes,Yes,18,No,Yes,No,Yes,Yes,Yes,No,No,No,One year,Yes,Credit card,44.85,7047.95,No
ID129,Male,1,Yes,No,69,Yes,No phone service,No,No internet service,No internet service,No internet service,Yes,Yes,No internet service,Month-to-month,No,Electronic check,20.27,2140.87,Yes
ID130,Female,1,Yes,Yes,21,Yes,No phone service,No,Yes,No,No internet service,No,No,No,Two year,Yes,Credit card,115.26,2098.66,No
ID131,Female,0,No,No,50,No,Yes,Fiber optic,No internet service,No internet service,Yes,No,Yes,Yes,One year,Yes,Electronic check,80.91,1725.98,Yes
ID132,Female,1,No,No,59,Yes,No phone service,No,No internet service,Yes,No internet service,No,Yes,No internet service,Two year,Yes,Mailed check,70.48,4298.17,No
ID133,Female,1,Yes,Yes,11,No,No,DSL,Yes,No,Yes,Yes,No internet service,No internet service,One year,Yes,Credit card,92.49,7298.47,No
ID134,Female,1,Yes,No,63,Yes,No phone service,Fiber optic,No,No,Yes,No,No internet service,Yes,Two year,No,Mailed check,42.31,5308.05,Yes
ID135,Female,0,Yes,Yes,33,No,No,Fiber optic,No internet service,No internet service,No,No,Yes,No internet service,One year,No,Mailed check,23.14,5003.02,No
ID136,Male,1,No,Yes,26,Yes,Yes,DSL,No internet service,Yes,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,67.86,801.73,No
ID137,Female,0,No,Yes,58,Yes,No,No,No,Yes,No,Yes,Yes,No internet service,Month-to-month,No,Electronic check,69.53,7258.57,No
ID138,Female,0,No,No,33,No,Yes,DSL,Yes,No,Yes,Yes,No internet service,No internet service,Two year,Yes,Bank transfer,82.32,7018.66,No
ID139,Female,0,Yes,Yes,60,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer,44.12,7145.88,No
ID140,Male,1,No,No,24,Yes,No phone service,DSL,No,No,No,No,Yes,Yes,Two year,Yes,Electronic check,101.24,1931.18,No
ID141,Female,1,Yes,No,22,Yes,No,No,Yes,No internet service,No internet service,No,No internet service,Yes,Month-to-month,No,Mailed check,72.32,6941.27,Yes
ID142,Male,1,No,No,44,No,Yes,DSL,Yes,Yes,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer,55.7,1268.61,No
ID143,Female,1,No,Yes,10,Yes,No phone service,No,Yes,No internet service,No internet service,No internet service,Yes,No internet service,Month-to-month,No,Mailed check,95.87,8532.96,Yes
ID144,Female,0,Yes,No,4,Yes,No phone service,Fiber optic,No,Yes,No,No internet service,No internet service,No,Month-to-month,No,Electronic check,55.3,7808.72,No
ID145,Male,0,No,No,36,No,No phone service,No,No internet service,No,Yes,No internet service,No internet service,Yes,Two year,Yes,Electronic check,93.15,2246.08,Yes
ID146,Male,1,Yes,Yes,46,No,No phone service,DSL,No,No,Yes,No internet service,No,No internet service,Month-to-month,No,Credit card,99.81,143.18,Yes
ID147,Male,0,Yes,No,53,No,Yes,Fiber optic,No internet service,Yes,No,Yes,No,Yes,Two year,Yes,Electronic check,107.45,4132.35,Yes
ID148,Female,0,No,Yes,49,No,Yes,DSL,No,No,No internet service,Yes,Yes,Yes,One year,No,Credit card,63.87,4438.54,Yes
ID149,Male,1,Yes,Yes,70,Yes,No phone service,No,No internet service,No internet service,No,Yes,No internet service,No,Two year,No,Bank transfer,116.36,859.17,Yes
ID150,Male,0,No,Yes,49,No,Yes,DSL,No internet service,Yes,No internet service,No,No internet service,Yes,One year,Yes,Bank transfer,65.35,2542.62,No
ID151,Male,0,No,Yes,7,Yes,No,Fiber optic,No internet service,No,No internet service,No,Yes,No,Two year,No,Credit card,118.51,2480.98,No
ID152,Female,0,No,Yes,60,No,Yes,No,No,No internet service,No,No,Yes,No internet service,One year,No,Credit card,113.02,6857.7,No
ID153,Female,0,No,Yes,29,No,No,DSL,No internet service,Yes,Yes,No internet service,No,No,One year,No,Credit card,113.69,7964.5,No
ID154,Female,1,No,No,27,Yes,No,Fiber optic,No internet service,Yes,No,No,Yes,No internet service,Month-to-month,No,Mailed check,114.27,252.05,No
ID155,Female,0,No,Yes,34,Yes,No phone service,No,No internet service,No,Yes,Yes,No internet service,No internet service,Month-to-month,No,Bank transfer,52.35,5713.11,No
ID156,Male,1,Yes,No,31,No,No,Fiber optic,Yes,Yes,Yes,No,Yes,No internet service,Two year,No,Credit card,91.59,8382.25,Yes
ID157,Female,1,Yes,No,4,Yes,No,Fiber optic,No internet service,No internet service,Yes,Yes,Yes,No,Two year,Yes,Credit card,88.23,3996.09,Yes
ID158,Male,1,Yes,No,71,No,No,No,No internet service,No internet service,No,Yes,Yes,No internet service,One year,No,Bank transfer,78.42,2674.04,Yes
ID159,Male,1,No,Yes,48,No,Yes,Fiber optic,No internet service,No,Yes,No,No internet service,No,One year,No,Bank transfer,56.06,1473.9,No
ID160,Male,0,Yes,No,57,No,Yes,DSL,No,No,Yes,No,No,Yes,Two year,No,Mailed check,105.85,8273.38,Yes
ID161,Female,1,No,No,45,No,No phone service,Fiber optic,No internet service,No internet service,No internet service,Yes,No,No internet service,One year,Yes,Bank transfer,59.53,1342.43,No
ID162,Female,1,No,Yes,65,No,No phone service,Fiber optic,No,Yes,Yes,No internet service,Yes,No,One year,Yes,Electronic check,93.04,1991.48,Yes
ID163,Female,1,Yes,No,36,No,No phone service,DSL,Yes,No internet service,No internet service,No internet service,Yes,No,One year,No,Bank transfer,108.42,3463.12,Yes
ID164,Male,1,Yes,Yes,68,No,No phone service,DSL,No internet service,Yes,Yes,No internet service,No internet service,No,Month-to-month,Yes,Credit card,38.86,6841.7,Yes
ID165,Female,0,Yes,Yes,42,No,No phone service,No,No internet service,No internet service,No internet service,Yes,No internet service,No,Month-to-month,Yes,Bank transfer,72.13,8011.47,No
ID166,Male,1,No,No,23,Yes,No,DSL,No,Yes,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer,25.04,5002.7,Yes
ID167,Male,1,No,No,55,No,No phone service,Fiber optic,No internet service,Yes,No internet service,No,No,No internet service,Two year,No,Mailed check,89.98,7659.08,Yes
ID168,Male,1,Yes,No,34,Yes,Yes,DSL,No,No,No internet service,No,No,No,Month-to-month,No,Credit card,87.64,5305.45,Yes
ID169,Female,0,No,No,20,Yes,No,DSL,No,No,No,No,No internet service,Yes,Two year,Yes,Electronic check,115.15,4471.1,No
ID170,Female,0,No,Yes,11,No,Yes,DSL,No internet service,No,No,No internet service,Yes,Yes,One year,No,Mailed check,43.27,4973.17,No
ID171,Male,1,Yes,Yes,30,Yes,No phone service,Fiber optic,No,No internet service,No internet service,No,No internet service,No,Two year,Yes,Credit card,45.88,4577.82,No
ID172,Female,0,No,No,51,Yes,Yes,No,Yes,Yes,No,Yes,No internet service,Yes,Two year,Yes,Electronic check,43.3,4483.03,No
ID173,Female,1,Yes,No,31,No,No,No,Yes,Yes,Yes,Yes,No internet service,No,Two year,No,Bank transfer,67.37,7989.35,Yes
ID174,Male,0,No,Yes,32,Yes,No,No,No,Yes,No,No internet service,No internet service,No,Two year,Yes,Bank transfer,56.42,3557.79,No
ID175,Male,0,No,Yes,66,Yes,No,Fiber optic,No,Yes,No internet service,Yes,No internet service,No internet service,Month-to-month,Yes,Electronic check,21.44,3522.01,No
ID176,Female,1,Yes,Yes,69,Yes,Yes,No,No internet service,No,Yes,No internet service,No internet service,No,Month-to-month,Yes,Mailed check,33.09,4503.44,No
ID177,Female,1,No,No,52,Yes,No phone service,Fiber optic,No internet service,No,No internet service,No,Yes,No,One year,No,Bank transfer,91.84,2195.61,Yes
ID178,Female,1,Yes,Yes,67,No,Yes,DSL,No internet service,No,No internet service,No,Yes,Yes,One year,No,Bank transfer,43.73,8055.05,Yes
ID179,Male,0,No,Yes,7,No,No,Fiber optic,Yes,No internet service,Yes,Yes,Yes,No,One year,Yes,Bank transfer,100.14,7035.72,No
ID180,Female,0,Yes,No,51,Yes,No phone service,Fiber optic,Yes,No internet service,No internet service,No,No internet service,No internet service,Two year,Yes,Electronic check,19.61,5917.33,Yes
