Churn,Contract,Dependents,DeviceProtection,InternetService,MonthlyCharges,MultipleLines,OnlineBackup,OnlineSecurity,PaperlessBilling,Partner,PaymentMethod,PhoneService,SeniorCitizen,StreamingMovies,StreamingTV,TechSupport,TotalCharges,customerID,gender,tenure
Yes,Month-to-month,Yes,No internet service,DSL,104.07,No,No,Yes,No,Yes,Mailed check,No,0,Yes,No internet service,Yes,8034.83,ID43,Male,8
No,Two year,No,Yes,No,80.86,No,No internet service,Yes,Yes,Yes,Electronic check,Yes,0,No,No internet service,No,6456.55,ID44,Male,20
No,Month-to-month,Yes,Yes,DSL,65.01,Yes,No,Yes,No,Yes,Electronic check,No,1,Yes,Yes,No internet service,7106.4,ID45,Female,54
No,Month-to-month,No,No,No,81.86,No phone service,Yes,No,Yes,No,Mailed check,No,0,No internet service,No internet service,No internet service,6569.24,ID46,Male,68
Yes,Month-to-month,Yes,No,Fiber optic,21.16,Yes,No,No,No,Yes,Bank transfer,No,1,No internet service,No internet service,No,3698.3,ID47,Female,59
No,One year,No,No,Fiber optic,66.91,No,Yes,No,No,Yes,Credit card,No,0,No internet service,Yes,Yes,6909.28,ID48,Female,58
No,One year,Yes,No internet service,Fiber optic,113.55,No phone service,Yes,Yes,No,Yes,Electronic check,No,0,No internet service,No internet service,Yes,5568.69,ID49,Male,28
Yes,One year,No,No,DSL,84.4,No,Yes,Yes,No,Yes,Bank transfer,Yes,0,No,No internet service,No,6033.88,ID50,Female,40
No,Two year,Yes,No,Fiber optic,36.4,Yes,No,No internet service,Yes,No,Electronic check,Yes,0,No,Yes,Yes,5034.49,ID51,Male,3
No,One year,No,No,Fiber optic,32.69,Yes,No internet service,No,No,No,Electronic check,No,1,No internet service,No internet service,Yes,3069.41,ID52,Female,63
No,One year,No,Yes,DSL,84.61,No phone service,Yes,No internet service,No,No,Electronic check,Yes,1,No,Yes,No internet service,4329.52,ID53,Female,43
No,Month-to-month,No,No,Fiber optic,82.9,Yes,No internet service,No internet service,Yes,Yes,Bank transfer,Yes,0,Yes,No,No,8107.39,ID54,Male,21
Yes,One year,No,Yes,Fiber optic,92.08,Yes,No internet service,No internet service,Yes,Yes,Mailed check,Yes,0,No internet service,Yes,No internet service,3781.94,ID55,Female,29
Yes,Two year,Yes,No internet service,No,76.7,Yes,No,Yes,No,No,Mailed check,No,0,No internet service,No,Yes,5733.38,ID56,Male,8
Yes,Month-to-month,Yes,Yes,Fiber optic,96.72,Yes,No,No,Yes,No,Electronic check,No,0,No internet service,No internet service,Yes,895.63,ID57,Male,5
No,One year,No,No internet service,No,45.71,No phone service,No internet service,No internet service,No,Yes,Credit card,Yes,0,Yes,Yes,No,1829.25,ID58,Female,27
No,One year,No,No internet service,DSL,93.9,No,Yes,No,No,Yes,Mailed check,Yes,1,No internet service,No,No,2467.89,ID59,Female,70
Yes,Month-to-month,No,No,Fiber optic,34.04,No phone service,No internet service,No internet service,Yes,Yes,Bank transfer,No,0,No,Yes,Yes,3232.79,ID60,Male,1
No,Two year,Yes,Yes,Fiber optic,87.99,No phone service,No internet service,Yes,No,No,Bank transfer,No,0,No,Yes,Yes,8557.26,ID61,Male,5
Yes,Month-to-month,No,Yes,DSL,81.06,No,No,Yes,Yes,No,Bank transfer,Yes,1,Yes,No internet service,No internet service,3610.88,ID62,Female,69
No,Month-to-month,Yes,Yes,No,52.25,No phone service,No,No,No,Yes,Mailed check,Yes,0,No internet service,No,No,1081.08,ID63,Female,57
No,Month-to-month,Yes,Yes,No,45.38,Yes,No internet service,No,No,Yes,Bank transfer,No,1,No,No internet service,Yes,6373.92,ID64,Male,12
No,Month-to-month,Yes,Yes,DSL,56.55,Yes,Yes,No internet service,No,Yes,Bank transfer,Yes,0,No internet service,No internet service,No,2080.35,ID65,Female,47
Yes,Month-to-month,No,No internet service,No,66.73,No,No,Yes,No,Yes,Electronic check,Yes,1,Yes,No internet service,No internet service,1153.11,ID66,Female,52
No,Two year,Yes,No internet service,Fiber optic,78.35,Yes,No internet service,No internet service,Yes,Yes,Bank transfer,No,1,No,No internet service,Yes,6649.58,ID67,Female,51
Yes,Month-to-month,No,No internet service,Fiber optic,107.62,No,No,No,Yes,No,Electronic check,Yes,1,No,No internet service,No internet service,2852.03,ID68,Female,24
No,Month-to-month,No,Yes,DSL,62.15,Yes,Yes,Yes,Yes,No,Electronic check,No,0,No internet service,Yes,Yes,7914.47,ID69,Male,47
Yes,Month-to-month,No,No internet service,DSL,74.39,No phone service,No,No,No,No,Credit card,Yes,0,Yes,Yes,No internet service,8180.78,ID70,Male,35
Yes,Two year,No,Yes,DSL,116.06,No,No,No,Yes,Yes,Credit card,Yes,1,No internet service,No,No,6840.56,ID71,Male,56
Yes,One year,Yes,Yes,Fiber optic,22.21,No,No,No,Yes,Yes,Mailed check,No,0,No,Yes,No internet service,1427.33,ID72,Male,70
No,One year,No,No,Fiber optic,35.36,No,No,Yes,No,No,Electronic check,No,1,Yes,Yes,No,8578.28,ID73,Female,70
Yes,One year,No,No internet service,Fiber optic,30.68,Yes,No internet service,No,Yes,No,Electronic check,Yes,0,Yes,Yes,No internet service,7996.23,ID74,Male,66
No,One year,Yes,No internet service,Fiber optic,110.81,No,Yes,No internet service,Yes,No,Electronic check,No,0,Yes,No,Yes,4691.58,ID75,Female,28
Yes,One year,Yes,No internet service,No,84.74,No,No,No internet service,Yes,No,Bank transfer,No,0,Yes,No,Yes,164.51,ID76,Male,62
Yes,Month-to-month,Yes,Yes,DSL,95.37,No phone service,No,Yes,Yes,Yes,Electronic check,No,1,No,No,No,5565.56,ID77,Male,8
Yes,One year,No,Yes,DSL,28.3,Yes,Yes,No,Yes,No,Bank transfer,Yes,1,No internet service,No internet service,No internet service,1228.63,ID78,Male,57
No,Two year,No,Yes,Fiber optic,115.17,Yes,No internet service,Yes,No,No,Credit card,No,1,Yes,No internet service,No,4211.84,ID79,Female,48
Yes,Two year,Yes,No internet service,No,72.5,Yes,Yes,Yes,Yes,Yes,Electronic check,No,1,Yes,No,No,5297.29,ID80,Male,35
No,Two year,Yes,Yes,Fiber optic,62.61,No phone service,Yes,No,No,Yes,Bank transfer,No,0,No internet service,No internet service,Yes,5998.47,ID81,Female,7
No,One year,Yes,No,DSL,39.3,No phone service,No internet service,Yes,No,Yes,Electronic check,No,1,No internet service,Yes,No internet service,2334.37,ID82,Male,53
No,One year,Yes,Yes,DSL,23.38,No,No internet service,No,Yes,Yes,Credit card,Yes,1,No,Yes,No internet service,646.17,ID83,Female,55
Yes,One year,No,No internet service,Fiber optic,117.0,No,No,Yes,Yes,No,Mailed check,No,1,No internet service,Yes,No internet service,1627.95,ID84,Male,41
No,One year,No,No internet service,No,24.57,Yes,Yes,No internet service,Yes,Yes,Bank transfer,Yes,0,No,Yes,Yes,4038.14,ID85,Female,35
Yes,Two year,Yes,Yes,DSL,107.59,No,No internet service,Yes,Yes,Yes,Mailed check,Yes,1,No internet service,Yes,No internet service,8584.65,ID86,Male,16
Yes,Two year,Yes,No,Fiber optic,52.62,No,Yes,No internet service,Yes,No,Electronic check,Yes,0,Yes,No,No internet service,619.43,ID87,Male,51
No,Two year,Yes,No internet service,DSL,78.44,No,No,No,No,Yes,Mailed check,Yes,0,No,No internet service,No,5945.47,ID88,Female,33
Yes,Month-to-month,Yes,No,DSL,85.28,No phone service,No internet service,No,Yes,Yes,Credit card,No,1,No,No internet service,No,8470.17,ID89,Male,26
No,Two year,Yes,No,No,40.33,Yes,No internet service,No,No,No,Bank transfer,No,1,No,Yes,No,7189.94,ID90,Female,25
Yes,One year,No,Yes,DSL,67.13,No phone service,No,Yes,No,Yes,Bank transfer,No,1,No,Yes,Yes,810.15,ID91,Female,25
No,One year,Yes,No,DSL,57.23,Yes,Yes,Yes,No,Yes,Electronic check,No,1,No,Yes,Yes,4244.79,ID92,Male,47
No,Month-to-month,No,No,Fiber optic,55.06,No,No internet service,Yes,No,No,Credit card,Yes,0,No,No internet service,No,8492.7,ID93,Female,70
Yes,One year,Yes,No,Fiber optic,61.33,Yes,No internet service,Yes,Yes,Yes,Mailed check,Yes,1,No,No internet service,Yes,2542.99,ID94,Female,52
Yes,Month-to-month,No,No internet service,DSL,69.23,No,No internet service,No internet service,Yes,Yes,Bank transfer,Yes,1,No internet service,No internet service,No,6525.22,ID95,Male,21
Yes,One year,Yes,No,No,66.94,Yes,Yes,Yes,Yes,Yes,Mailed check,Yes,0,No,No internet service,No internet service,441.94,ID96,Male,31
Yes,One year,No,No internet service,Fiber optic,68.19,No phone service,No internet service,Yes,No,Yes,Electronic check,No,0,No,Yes,No,4784.59,ID97,Male,66
No,One year,No,No,Fiber optic,32.07,No,No,No internet service,Yes,Yes,Electronic check,Yes,1,No internet service,No internet service,No internet service,7711.27,ID98,Female,9
Yes,Two year,No,No internet service,No,103.6,No,No,No,No,Yes,Credit card,Yes,0,No internet service,Yes,No internet service,6242.33,ID99,Male,21
Yes,Two year,No,No,Fiber optic,44.56,No phone service,Yes,No internet service,Yes,Yes,Bank transfer,Yes,0,No,No internet service,No internet service,2523.5,ID100,Female,70
Yes,One year,No,Yes,DSL,25.2,No,Yes,Yes,No,Yes,Credit card,No,0,Yes,Yes,Yes,5228.21,ID101,Male,10
Yes,Two year,Yes,Yes,Fiber optic,61.25,No phone service,No internet service,No internet service,No,No,Mailed check,Yes,0,Yes,Yes,No,8591.07,ID102,Female,51
Yes,One year,No,Yes,Fiber optic,69.47,No phone service,No,No internet service,Yes,No,Electronic check,Yes,0,Yes,No,Yes,1486.45,ID103,Male,61
No,Month-to-month,Yes,No,DSL,115.69,No phone service,Yes,No,Yes,No,Mailed check,No,0,No,No,Yes,8523.41,ID104,Male,2
Yes,Month-to-month,Yes,No internet service,Fiber optic,37.8,No phone service,No,Yes,No,Yes,Mailed check,No,1,No internet service,No,No,1162.1,ID105,Male,53
Yes,One year,No,Yes,DSL,66.18,No phone service,No,Yes,Yes,Yes,Electronic check,Yes,1,No internet service,Yes,No internet service,8439.75,ID106,Female,55
Yes,One year,No,No internet service,No,73.65,No,No,No internet service,No,Yes,Bank transfer,No,0,Yes,No,No internet service,7060.83,ID107,Male,66
No,One year,Yes,No,DSL,101.77,No phone service,No,No,Yes,Yes,Credit card,Yes,1,Yes,No internet service,No internet service,4871.06,ID108,Female,8
Yes,Month-to-month,Yes,Yes,No,51.74,No phone service,Yes,No internet service,No,Yes,Bank transfer,Yes,1,Yes,No,No,838.38,ID109,Male,39
Yes,Two year,No,Yes,Fiber optic,56.07,No phone service,No,No internet service,No,Yes,Electronic check,Yes,0,Yes,Yes,No,3006.87,ID110,Female,45
Yes,One year,No,Yes,No,35.88,No,No internet service,No internet service,Yes,No,Mailed check,Yes,1,Yes,No,No,8194.82,ID111,Male,46
Yes,Two year,No,No internet service,Fiber optic,61.78,Yes,Yes,No internet service,Yes,Yes,Credit card,Yes,0,No,No,No,8128.49,ID112,Female,65
Yes,Two year,No,Yes,DSL,36.48,No,No,No,Yes,No,Mailed check,Yes,1,No internet service,No,Yes,7289.94,ID113,Female,56
No,Month-to-month,Yes,Yes,No,52.7,No,Yes,No,No,Yes,Mailed check,No,0,Yes,No,No internet service,4322.18,ID114,Male,52
No,One year,Yes,No,No,33.44,Yes,No internet service,Yes,Yes,No,Bank transfer,No,0,No,No internet service,No,3030.31,ID115,Female,66
Yes,Two year,Yes,No internet service,No,91.42,No phone service,Yes,No internet service,Yes,Yes,Mailed check,Yes,0,Yes,No,Yes,7285.23,ID116,Male,9
Yes,Month-to-month,Yes,No,DSL,109.13,No phone service,No,No internet service,Yes,Yes,Bank transfer,Yes,0,Yes,No,Yes,7933.55,ID117,Male,30
Yes,Two year,No,No internet service,No,18.49,Yes,Yes,No,Yes,No,Electronic check,Yes,0,No internet service,No internet service,Yes,5666.26,ID118,Female,60
No,Two year,No,Yes,No,50.73,No,No,No,Yes,No,Mailed check,No,1,Yes,No,No internet service,1426.3,ID119,Female,21
Yes,Two year,No,No internet service,Fiber optic,23.19,No,No,No,Yes,Yes,Mailed check,Yes,1,No,No internet service,Yes,8570.91,ID120,Male,48
Yes,One year,No,No internet service,No,26.39,No,No internet service,Yes,No,Yes,Electronic check,Yes,1,No internet service,Yes,No,6231.9,ID121,Male,31
No,Month-to-month,Yes,No internet service,No,80.52,Yes,No,No internet service,Yes,Yes,Mailed check,Yes,0,No internet service,No,No,3122.03,ID122,Female,23
No,Month-to-month,Yes,Yes,DSL,45.34,No,No,Yes,No,Yes,Electronic check,No,1,No internet service,No,No internet service,3452.7,ID123,Female,38
No,Two year,Yes,Yes,DSL,96.15,No,No internet service,No internet service,Yes,Yes,Bank transfer,No,0,No,No,No internet service,5976.31,ID124,Female,40
Yes,Month-to-month,Yes,Yes,DSL,25.27,No phone service,Yes,Yes,No,No,Electronic check,Yes,0,No,No internet service,Yes,6648.58,ID125,Male,60
No,One year,Yes,Yes,No,30.75,Yes,No,Yes,No,No,Mailed check,Yes,1,No internet service,No,No,8351.26,ID126,Female,35
No,Month-to-month,No,No internet service,Fiber optic,19.88,No,Yes,Yes,No,No,Electronic check,Yes,0,No internet service,No internet service,No,6804.88,ID127,Female,59
Yes,Two year,No,No internet service,No,24.41,Yes,No,Yes,No,No,Mailed check,No,1,No,No,Yes,1342.69,ID128,Male,59
No,One year,Yes,No internet service,DSL,49.23,Yes,No internet service,Yes,No,No,Credit card,No,1,No internet service,Yes,No,5972.35,ID129,Female,57
No,Month-to-month,No,Yes,Fiber optic,90.13,No phone service,Yes,Yes,No,No,Electronic check,Yes,1,Yes,No,No internet service,7218.02,ID130,Male,27
Yes,Two year,Yes,Yes,No,96.29,No phone service,Yes,Yes,No,No,Electronic check,Yes,0,Yes,No,No internet service,8126.93,ID131,Female,25
Yes,One year,Yes,No,Fiber optic,41.39,No phone service,No internet service,Yes,No,No,Bank transfer,No,1,Yes,No internet service,No,5742.47,ID132,Female,40
No,Two year,Yes,No,No,80.07,Yes,No internet service,Yes,No,Yes,Credit card,No,1,No internet service,Yes,No,20.78,ID133,Male,61
No,Month-to-month,Yes,No,Fiber optic,104.12,No phone service,No,Yes,Yes,No,Bank transfer,Yes,0,Yes,No,No,4872.01,ID134,Female,43
Yes,One year,Yes,No,DSL,36.85,Yes,No,No,No,Yes,Bank transfer,No,0,Yes,No internet service,No internet service,4785.25,ID135,Male,40
Yes,One year,Yes,No internet service,No,43.09,Yes,No,No internet service,Yes,Yes,Bank transfer,Yes,1,Yes,No internet service,No,2352.4,ID136,Male,4
No,Month-to-month,Yes,No,Fiber optic,25.16,Yes,Yes,No,Yes,No,Bank transfer,No,1,Yes,No,Yes,3091.78,ID137,Male,58
No,Month-to-month,Yes,Yes,No,59.3,No,No internet service,No,Yes,No,Bank transfer,No,1,No internet service,Yes,No,1173.96,ID138,Male,42
Yes,One year,No,No,Fiber optic,44.58,No,No internet service,Yes,No,Yes,Mailed check,Yes,0,Yes,No internet service,Yes,683.02,ID139,Female,35
Yes,One year,No,No,DSL,66.95,No,No,Yes,No,Yes,Credit card,Yes,1,No,No,No,4872.77,ID140,Female,30
No,Two year,No,No internet service,DSL,109.71,Yes,Yes,Yes,Yes,No,Credit card,Yes,0,Yes,Yes,Yes,3916.13,ID141,Male,38
Yes,Two year,Yes,No,No,35.22,No phone service,No,Yes,No,No,Credit card,No,1,No internet service,No,No internet service,5299.93,ID142,Female,55
No,Month-to-month,No,No internet service,Fiber optic,74.66,No phone service,No internet service,No internet service,No,No,Bank transfer,No,0,Yes,No internet service,No internet service,1579.67,ID143,Female,66
No,One year,No,No,No,49.17,No,No internet service,Yes,No,No,Electronic check,Yes,1,No,No,No internet service,2792.91,ID144,Male,17
No,Month-to-month,No,No,No,55.29,No,No internet service,No internet service,No,No,Mailed check,Yes,1,Yes,Yes,No,7560.98,ID145,Female,22
No,Month-to-month,Yes,No internet service,No,75.08,Yes,No internet service,No internet service,No,No,Bank transfer,Yes,0,No,No internet service,No,5135.08,ID146,Female,36
Yes,One year,No,No internet service,Fiber optic,92.23,Yes,No internet service,No,Yes,Yes,Bank transfer,Yes,0,No internet service,Yes,No,6142.23,ID147,Female,51
No,Month-to-month,No,Yes,Fiber optic,68.71,No,Yes,No,No,No,Mailed check,Yes,0,Yes,No,No internet service,4604.45,ID148,Female,25
No,One year,No,No internet service,DSL,114.64,No,No internet service,Yes,Yes,Yes,Mailed check,No,0,No,No,No,6322.13,ID149,Female,64
No,One year,No,Yes,No,60.22,No,No,Yes,No,No,Electronic check,No,1,No internet service,Yes,Yes,7788.57,ID150,Male,55
No,Two year,Yes,No,DSL,112.26,No,No internet service,No internet service,No,No,Credit card,No,0,No,No internet service,No,3782.97,ID151,Female,71
No,One year,No,No internet service,Fiber optic,41.31,No,Yes,No,Yes,No,Bank transfer,Yes,1,Yes,No,No,6121.55,ID152,Female,59
No,Two year,Yes,No internet service,Fiber optic,20.65,No phone service,No internet service,No internet service,No,No,Bank transfer,Yes,0,No internet service,Yes,Yes,6463.2,ID153,Male,11
Yes,One year,Yes,No internet service,Fiber optic,109.0,No,No internet service,No internet service,No,Yes,Mailed check,No,1,No internet service,Yes,No internet service,1075.32,ID154,Male,60
Yes,Month-to-month,Yes,No,Fiber optic,102.6,No phone service,No internet service,No internet service,Yes,No,Mailed check,No,0,No,Yes,No internet service,2222.58,ID155,Female,31
Yes,Month-to-month,No,No,Fiber optic,45.08,No,No internet service,No internet service,No,Yes,Credit card,Yes,0,Yes,Yes,Yes,2305.64,ID156,Female,48
Yes,Two year,No,No internet service,DSL,58.07,Yes,No internet service,Yes,Yes,Yes,Mailed check,No,1,No,Yes,Yes,6168.71,ID157,Female,53
Yes,Month-to-month,Yes,No internet service,Fiber optic,54.76,Yes,No,Yes,No,No,Electronic check,Yes,0,Yes,No internet service,No,6186.26,ID158,Female,43
Yes,Two year,Yes,No internet service,DSL,83.62,No phone service,No,No internet service,Yes,No,Electronic check,No,1,No internet service,No,No internet service,4289.5,ID159,Female,12
Yes,Month-to-month,No,Yes,No,39.68,No phone service,No,Yes,No,No,Mailed check,No,0,No internet service,No,Yes,4431.81,ID160,Female,38
Yes,One year,Yes,No internet service,Fiber optic,57.32,No phone service,Yes,No,No,Yes,Bank transfer,Yes,0,No,Yes,Yes,4822.65,ID161,Male,13
No,Month-to-month,Yes,No internet service,Fiber optic,43.3,No phone service,No,No internet service,Yes,Yes,Bank transfer,No,0,No,Yes,Yes,2563.94,ID162,Male,52
No,Month-to-month,Yes,No,Fiber optic,61.8,Yes,No,No,No,Yes,Mailed check,Yes,1,Yes,Yes,No internet service,7558.11,ID163,Female,45
Yes,Month-to-month,No,No internet service,No,64.88,No phone service,No,No internet service,Yes,No,Credit card,No,0,Yes,Yes,Yes,6388.64,ID164,Female,54
No,Two year,Yes,Yes,Fiber optic,63.57,No,Yes,No internet service,No,Yes,Mailed check,No,0,No,No,Yes,396.08,ID165,Female,49
Yes,Two year,No,No internet service,Fiber optic,54.24,No phone service,Yes,No internet service,Yes,Yes,Bank transfer,No,1,Yes,Yes,Yes,8523.46,ID166,Male,37
No,One year,Yes,No internet service,DSL,36.53,No,Yes,Yes,Yes,Yes,Electronic check,No,0,Yes,No,Yes,991.93,ID167,Female,52
No,One year,No,No internet service,No,77.17,No,Yes,Yes,Yes,Yes,Bank transfer,Yes,1,Yes,No internet service,No,108.99,ID168,Female,53
No,Month-to-month,No,Yes,No,107.74,Yes,Yes,No,No,No,Bank transfer,Yes,0,No internet service,Yes,No internet service,3912.09,ID169,Female,28
Yes,Month-to-month,Yes,No internet service,DSL,82.35,Yes,No,No internet service,No,Yes,Electronic check,Yes,0,Yes,No,Yes,7202.18,ID170,Male,31
No,Month-to-month,No,No,DSL,40.62,Yes,No,No internet service,No,No,Bank transfer,No,1,No internet service,Yes,Yes,7416.03,ID171,Male,37
Yes,One year,Yes,Yes,DSL,25.36,No,Yes,No,Yes,Yes,Bank transfer,No,0,Yes,No,No internet service,1272.26,ID172,Male,61
No,Two year,No,No internet service,No,28.49,No,Yes,Yes,Yes,Yes,Credit card,Yes,1,No,No,No internet service,6011.02,ID173,Female,43
No,One year,Yes,No internet service,DSL,25.35,Yes,No,No,No,Yes,Electronic check,Yes,1,No internet service,No,No internet service,4968.61,ID174,Female,57
No,Two year,Yes,Yes,No,33.38,No,No internet service,No,Yes,Yes,Bank transfer,Yes,0,No,Yes,No,8431.08,ID175,Female,23
Yes,One year,Yes,No internet service,Fiber optic,55.65,No,No internet service,No internet service,No,No,Bank transfer,No,1,Yes,No internet service,Yes,6891.92,ID176,Male,70
No,Two year,No,No internet service,DSL,38.28,No,No,Yes,No,No,Credit card,No,0,No,No,No,1156.14,ID177,Male,30
Yes,Month-to-month,No,Yes,Fiber optic,106.9,No phone service,No,No internet service,No,No,Electronic check,Yes,0,Yes,No internet service,No internet service,6611.69,ID178,Female,21
No,One year,No,No,No,51.17,No phone service,Yes,No internet service,Yes,No,Credit card,No,0,No internet service,Yes,No,7144.4,ID179,Female,46
Yes,One year,Yes,No internet service,No,42.75,Yes,No,No internet service,No,No,Electronic check,Yes,1,No,No,Yes,49.93,ID180,Male,3
